starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:44:20 2020	1595069060	0	13515	13515	13515
Sat Jul 18 13:44:21 2020	1595069061	0	13515	13515	13515
Sat Jul 18 13:44:21 2020	1595069061	0	13516	13516	13516
Sat Jul 18 13:44:20 2020	1595069060	0	13517	13517	13517
Sat Jul 18 13:44:20 2020	1595069060	0	13518	13518	13518
Sat Jul 18 13:44:20 2020	1595069060	0	13519	13520	13519
Sat Jul 18 13:44:20 2020	1595069060	0	13520	13520	13520
Sat Jul 18 13:44:21 2020	1595069061	0	13520	13520	13519
Sat Jul 18 13:44:21 2020	1595069061	0	13521	13521	13521
Sat Jul 18 13:44:21 2020	1595069061	0	13522	13522	13521
Sat Jul 18 13:44:21 2020	1595069061	0	13522	13522	13521
Sat Jul 18 13:44:21 2020	1595069061	0	13523	13523	13523
Sat Jul 18 13:44:21 2020	1595069061	0	13524	13524	13524
Sat Jul 18 13:44:21 2020	1595069061	0	13524	13524	13524
